piRNA,disease,score
miR-126*,Doxorubicin,1
miR-29b-1*,Doxorubicin,1
miR-942,Doxorubicin,1
miR-590-5p,Doxorubicin,1
MALAT1,5-Fluorouracil,1
linc-VLDLR,Cisplatin,1
miR-526b*,Cisplatin,1
miR-892b,Vincristine,1
miR-28,Oxaliplatin,1
miR-15b*,Paclitaxel,1
miR-4465,Doxorubicin,1
miR-4286,Doxorubicin,1
miR-221*,Cisplatin,1
miR-433,Gemcitabine,1
miR-586,Cisplatin,1
let-7f-1*,Doxorubicin,1
miR-324,Doxorubicin,1
miR-204,Doxorubicin,1
miR-563,5-Fluorouracil,1
miR-4286,Cisplatin,1
miR-324,Cisplatin,1
miR-130,Doxorubicin,1
miR-378d,Cisplatin,1
miR-30d,Gemcitabine,1
miR-497,5-Fluorouracil,1
miR-571,Gemcitabine,1
miR-10a ,5-Fluorouracil,1
miR-1229-5p,Gemcitabine,1
miR-3200,Cisplatin,1
miR-3154,Doxorubicin,1
CASC11,Doxorubicin,1
miR-468,5-Fluorouracil,1
miR-199a-3p,Gemcitabine,1
miR-1915,Oxaliplatin,1
miR-1260b,Cisplatin,1
miR-3647,Cisplatin,1
miR-22-3p,Verapamil,1
miR-141-3p,Doxorubicin,1
miR-369,Cisplatin,1
miR-382,5-Fluorouracil,1
miR-22-3p,Doxorubicin,1
miR-3940,Doxorubicin,1
miR-1229-5p,Doxorubicin,1
miR-199a-5p,Gemcitabine,1
miR-522,5-Fluorouracil,1
miR-3619,Cisplatin,1
miR-196b,Cisplatin,1
miR-4710,Doxorubicin,1
miR-92a-1,5-Fluorouracil,1
miR-4711,Cisplatin,1
miR-141-3p,Verapamil,1
miR-26a-MM1,Gemcitabine,1
miR-19b,Oxaliplatin,1
NEAT1,Doxorubicin,1
miR-103,Doxorubicin,1
miR-1277,5-Fluorouracil,1
miR-103,Gemcitabine,1
miR-103,Cisplatin,1
miR-192,Gemcitabine,1
miR-212,Gemcitabine,1
miR-449a,Cisplatin,1
miR-4655,Cisplatin,1
miR-520,Gemcitabine,1
miR-3960,Doxorubicin,1
miR-1264,Doxorubicin,1
miR-3960,Cisplatin,1
miR-1237,Verapamil,1
miR-409,Doxorubicin,1
let-7b,Gemcitabine,1
miR-96,Gemcitabine,1
miR-26a-MM1,Cisplatin,1
miR-518c,Gemcitabine,1
miR-598,Oxaliplatin,1
miR-526b*,Oxaliplatin,1
miR-4687,Cisplatin,1
CASC11,Verapamil,1
miR-4655,Paclitaxel,1
miR-520d,Cisplatin,1
miR-496,Gemcitabine,1
miR-574,Verapamil,1
miR-320,5-Fluorouracil,1
miR-3682,Cisplatin,1
MACC1-AS1,Gemcitabine,1
miR-148a,Gemcitabine,1
miR-422a,Cisplatin,1
miR-4655,Doxorubicin,1
miR-133a,Gemcitabine,1
miR-494,Cisplatin,1
miR-99b*,Doxorubicin,1
miR-3187,Doxorubicin,1
miR-378c,Doxorubicin,1
miR-3154,Verapamil,1
miR-1228,Doxorubicin,1
UCA1,Doxorubicin,1
miR-378i,Doxorubicin,1
miR-4484,Cisplatin,1
miR-652,5-Fluorouracil,1
miR-202,Cisplatin,1
miR-275,5-Fluorouracil,1
miR-571,5-Fluorouracil,1
miR-1973,Gemcitabine,1
miR-138-1*,Cisplatin,1
miR-202,Gemcitabine,1
miR-199b*,Doxorubicin,1
miR-301a,Verapamil,1
miR-149*,Doxorubicin,1
miR-6886-3p,Doxorubicin,1
miR-4521,Cisplatin,1
miR-196a-5p,Verapamil,1
miR-555,5-Fluorouracil,1
miR-200c,Gemcitabine,1
miR-1826,Doxorubicin,1
miR-769,Cisplatin,1
miR-3195,Doxorubicin,1
piRNA-54265,Gemcitabine,1
miR-275,Gemcitabine,1
piRNA-54265,Doxorubicin,1
miR-506,Gemcitabine,1
miR-224,Gemcitabine,1
miR-27b,Gemcitabine,1
miR-708,Doxorubicin,1
miR-4430,Gemcitabine,1
miR-568,Gemcitabine,1
HULC,5-Fluorouracil,1
miR-338,Cisplatin,1
miR-30d*,Cisplatin,1
miR-4521,Verapamil,1
miR-301a,Oxaliplatin,1
miR-4535,Cisplatin,1
CCAT1,Doxorubicin,1
miR-506,Doxorubicin,1
miR-378a,Cisplatin,1
MRUL,Cisplatin,1
MALAT1,Gemcitabine,1
miR-17-5p,Cisplatin,1
miR-518b,Doxorubicin,1
miR-200,Doxorubicin,1
miR-887,Cisplatin,1
miR-4725,Cisplatin,1
miR-1288,Cisplatin,1
miR-4508,Cisplatin,1
miR-1260,Doxorubicin,1
miR-196a-5p,Doxorubicin,1
miR-340,5-Fluorouracil,1
miR-30e,5-Fluorouracil,1
miR-4725,Doxorubicin,1
miR-628,Gemcitabine,1
miR-744,Doxorubicin,1
miR-144-3p,Doxorubicin,1
miR-1469,Doxorubicin,1
miR-939,5-Fluorouracil,1
miR-519c,Doxorubicin,1
miR-4454,Cisplatin,1
miR-128,Verapamil,1
miR-519c,Gemcitabine,1
miR-122,Cisplatin,1
let-7d,Doxorubicin,1
miR-18a*,Doxorubicin,1
miR-615,Gemcitabine,1
miR-149*,Verapamil,1
miR-633,5-Fluorouracil,1
miR-18a*,Cisplatin,1
miR-200,Gemcitabine,1
miR-1268,Doxorubicin,1
miR-4279,Verapamil,1
miR-4430,5-Fluorouracil,1
miR-27b,Oxaliplatin,1
miR-940,Verapamil,1
miR-4638,Doxorubicin,1
miR-4783,Cisplatin,1
miR-500a,Paclitaxel,1
miR-27b,5-Fluorouracil,1
miR-92a-1,Gemcitabine,1
miR-496,5-Fluorouracil,1
miR-1277,Cisplatin,1
miR-10a*,Cisplatin,1
miR-138-1*,Paclitaxel,1
miR-99a-5p,Verapamil,1
miR-892b,Cisplatin,1
miR-590-5p,Gemcitabine,1
miR-500a,Doxorubicin,1
miR-519a,Doxorubicin,1
miR-4638,Cisplatin,1
miR-149,Verapamil,1
miR-100,5-Fluorouracil,1
miR-331,Gemcitabine,1
miR-151,5-Fluorouracil,1
miR-4723,Doxorubicin,1
miR-1285,Doxorubicin,1
miR-187,5-Fluorouracil,1
miR-204,Verapamil,1
miR-639,Cisplatin,1
miR-144,Gemcitabine,1
miR-107,Gemcitabine,1
miR-30a,5-Fluorouracil,1
miR-4261,Cisplatin,1
miR-923,Doxorubicin,1
miR-542,5-Fluorouracil,0.9999999
miR-3653,Oxaliplatin,0.9999999
miR-339,Paclitaxel,0.9999999
miR-125b-5p,Oxaliplatin,0.9999999
miR-30e*,Oxaliplatin,0.9999999
miR-133b,Tamoxifen,0.99999976
miR-149,Oxaliplatin,0.99999976
miR-1288,Oxaliplatin,0.9999995
miR-34a,5-Fluorouracil,0.9999995
miR-3178,Doxorubicin,0.9999994
miR-3141,Doxorubicin,0.99999905
miR-4466,Cisplatin,0.99999857
miR-6825-5p,5-Fluorouracil,0.99999833
miR-374b,Verapamil,0.99999726
miR-1826,Cisplatin,0.99999404
miR-214*,Gemcitabine,0.9999901
miR-21-5p,Gemcitabine,0.99997187
miR-455,Gemcitabine,0.9999703
miR-182,Verapamil,0.99996996
miR-143,Cisplatin,0.99996364
miR-675*,Paclitaxel,0.9999571
miR-4485,Cisplatin,0.99976987
miR-125b-5p,Gemcitabine,0.99971336
miR-4521,Doxorubicin,0.999571
miR-512,Gemcitabine,0.99951184
miR-4750,Doxorubicin,0.9992471
miR-320c,Doxorubicin,0.99712867
miR-22,Temozolomide,0.99654204
miR-24,Doxorubicin,0.9961641
miR-17-92,Gemcitabine,0.9960186
miR-543,Doxorubicin,0.9954183
miR-224,5-Fluorouracil,0.9903556
miR-193b*,Verapamil,0.97382396
miR-187*,Doxorubicin,0.93723977
miR-92a-1,Doxorubicin,0.92428374
miR-146b,5-Fluorouracil,0.86746764
miR-4516,Oxaliplatin,0.86278987
miR-1236,Cisplatin,0.8231213
miR-2277,Gemcitabine,0.7845072
miR-298,Verapamil,0.5928554
LUCAT1,Doxorubicin,0.5779281
miR-302c,Gemcitabine,0.4151008
miR-514,Gemcitabine,0.397813
miR-378i,Cisplatin,0.29198653
miR-1236,Paclitaxel,0.24939902
miR-448,Paclitaxel,0.12204029
miR-300,Oxaliplatin,0.091035634
miR-26a,PLX4720,0.08622424
miR-30a*,Gemcitabine,0.07794189
miR-20b*,Gemcitabine,0.061490696
let-7f,Gemcitabine,0.051183604
miR-1469,Verapamil,0.030368304
miR-519a,Verapamil,0.028357336
miR-4463,Cisplatin,0.015973935
miR-495,Gemcitabine,0.012223657
miR-1307,Carboplatin,0.010464459
miR-302c*,5-Fluorouracil,0.007390907
let-7e,Paclitaxel,0.006350406
SNHG5,Doxorubicin,0.00489583
miR-30c,Gemcitabine,0.004820906
miR-874,Doxorubicin,0.0043861
miR-767,Gemcitabine,0.002175552
miR-186,Oxaliplatin,0.00134489
miR-3619,Paclitaxel,0.000708392
miR-550,Doxorubicin,0.000482393
miR-320a,Verapamil,0.000331305
miR-346,Doxorubicin,0.000324499
miR-139,Oxaliplatin,0.000300406
miR-125b,Verapamil,0.00022172
miR-1468,Doxorubicin,9.64E-05
miR-125b,PLX4720,9.16E-05
miR-569,Gemcitabine,7.50E-05
miR-588,Gemcitabine,6.34E-05
miR-801,Doxorubicin,5.26E-05
miR-1,Gemcitabine,2.00E-05
linc-VLDLR,Verapamil,1.96E-05
miR-4465,Cisplatin,1.90E-05
miR-204,Paclitaxel,1.02E-05
miR-128a,Gemcitabine,8.88E-06
miR-17-5p,Gemcitabine,8.26E-06
miR-216,Verapamil,4.24E-06
miR-193b*,Oxaliplatin,3.64E-06
miR-100,Adriamycin,3.48E-06
miR-302b,Gemcitabine,3.39E-06
GAS5,Gemcitabine,2.43E-06
miR-340,Gemcitabine,2.34E-06
miR-342,Verapamil,1.72E-06
miR-196a,5-Fluorouracil,1.55E-06
miR-802,Chemotherapy,1.05E-06
miR-99a,Cetuximab,5.39E-07
miR-519b,Oxaliplatin,4.55E-07
miR-26a,Methotrexate,4.17E-07
miR-22,Cytarabine,2.95E-07
miR-216,Doxorubicin,2.09E-07
miR-922,Gemcitabine,1.89E-07
miR-29c,Vincristine,6.99E-08
miR-181b,5-Fluorouracil,5.55E-08
miR-377,Gemcitabine,3.60E-08
miR-217,Cyclopamine,3.07E-08
miR-30e,Paclitaxel,3.07E-08
miR-4725,Verapamil,2.81E-08
miR-300,Gemcitabine,1.62E-08
miR-23a,Temozolomide,1.35E-08
miR-2277,5-Fluorouracil,7.87E-09
miR-629,Gefitinib,5.73E-09
CRNDE,Doxorubicin,5.72E-09
miR-520c,Oxaliplatin,5.19E-09
miR-4484,Paclitaxel,3.92E-09
miR-10a ,Gemcitabine,2.62E-09
miR-4695,Cisplatin,1.67E-09
miR-1273g,Gemcitabine,1.64E-09
miR-1973,Verapamil,1.53E-09
miR-655,Gemcitabine,1.13E-09
miR-2861,Cisplatin,9.38E-10
miR-628,Doxorubicin,4.91E-10
miR-126*,5-Fluorouracil,4.36E-10
miR-181,Doxorubicin,3.52E-10
miR-4484,Verapamil,3.11E-10
miR-874,Oxaliplatin,3.11E-10
circPVT1,Verapamil,2.59E-10
miR-3200,Doxorubicin,2.16E-10
miR-4721,Doxorubicin,2.14E-10
miR-519d,Paclitaxel,1.90E-10
miR-4279,Doxorubicin,1.52E-10
miR-433,Doxorubicin,1.29E-10
miR-640,Cisplatin,7.78E-11
miR-6087,5-Fluorouracil,7.00E-11
miR-499,Oxaliplatin,6.47E-11
miR-4758,Cisplatin,5.96E-11
miR-199b*,Cisplatin,4.95E-11
miR-30a,Tamoxifen,4.82E-11
miR-663a,Doxorubicin,3.01E-11
miR-126*,Gefitinib,2.19E-11
miR-17-5p,5-Fluorouracil,1.90E-11
miR-4685,Doxorubicin,1.82E-11
piRNA-54265,Verapamil,1.34E-11
miR-765,Cisplatin,1.11E-11
miR-3177,Cisplatin,9.85E-12
miR-885,Oxaliplatin,9.54E-12
miR-376c,Gemcitabine,8.95E-12
miR-30b,Chemotherapy,5.73E-12
miR-23a,Mafosfamide,4.93E-12
miR-181a,Dexamethasone,4.79E-12
miR-4640,Paclitaxel,3.00E-12
miR-320a,Adriamycin,2.58E-12
miR-23a,Hydrogen Peroxide,2.53E-12
miR-625*,Doxorubicin,1.91E-12
miR-92a-2*,Paclitaxel,1.77E-12
miR-433,5-Fluorouracil,1.49E-12
miR-206,5-Fluorouracil,9.09E-13
miR-1256,5-Fluorouracil,8.73E-13
miR-1229-5p,Verapamil,7.59E-13
miR-9,Oxaliplatin,7.21E-13
miR-658,Oxaliplatin,6.61E-13
miR-23b,Doxorubicin,6.49E-13
miR-217,Vincristine,6.13E-13
miR-135a,5-Fluorouracil,5.78E-13
miR-4640,Doxorubicin,5.61E-13
miR-675,Gefitinib,5.45E-13
miR-424*,Doxorubicin,4.12E-13
miR-106~25,Cisplatin,3.84E-13
miR-1913,Oxaliplatin,3.10E-13
miR-590-5p,Verapamil,2.87E-13
miR-663a,Vincristine,2.49E-13
miR-3180,Cisplatin,2.25E-13
miR-105,Doxorubicin,2.21E-13
miR-3196,5-Fluorouracil,2.12E-13
miR-130,Cisplatin,1.80E-13
miR-132,FOLFOX Chemotherapy,1.39E-13
miR-194,Paclitaxel,1.27E-13
miR-217,Trastuzumab,1.21E-13
miR-23a,Gefitinib,6.90E-14
miR-335,Melphalan,6.12E-14
miR-378a,Gemcitabine,5.47E-14
miR-487b,Oxaliplatin,2.35E-14
miR-1307,Verapamil,1.49E-14
miR-134,5-Fluorouracil,1.09E-14
miR-3180,Oxaliplatin,8.33E-15
miR-1307,Paclitaxel,7.72E-15
miR-3687,Verapamil,5.54E-15
miR-1293,Gemcitabine,4.89E-15
miR-3651,Doxorubicin,2.27E-15
miR-374a*,5-Fluorouracil,1.86E-15
HOTAIR,Cytarabine,1.20E-15
miR-624*,Cisplatin,4.17E-16
miR-128,5-Fluorouracil,4.13E-16
miR-24,Gemcitabine,3.64E-16
miR-4745,Doxorubicin,3.55E-16
miR-1825,Doxorubicin,2.03E-16
hsa-1274A,Gemcitabine,1.86E-16
miR-197-3p,Doxorubicin,1.69E-16
miR-601,Gemcitabine,1.65E-16
miR-199b*,Oxaliplatin,1.61E-16
miR-500,Cisplatin,1.59E-16
miR-503,Imatinib,1.09E-16
miR-888,Oxaliplatin,9.36E-17
miR-543,Verapamil,8.17E-17
miR-576,Gemcitabine,5.97E-17
miR-338,Docetaxel,5.67E-17
miR-877,Gemcitabine,4.65E-17
miR-26a-MM1,5-Fluorouracil,3.65E-17
miR-3607,Verapamil,2.21E-17
miR-4675,Paclitaxel,2.18E-17
miR-137,Gemcitabine,1.94E-17
miR-671,Paclitaxel,1.81E-17
miR-4710,Cisplatin,1.76E-17
miR-194,5-Fluorouracil,1.39E-17
miR-1285,Cisplatin,1.37E-17
miR-22,Arsenic Trioxide,1.27E-17
miR-206,Gemcitabine,1.23E-17
miR-425*,Doxorubicin,1.16E-17
miR-373,5-Fluorouracil,1.10E-17
miR-106a,Gefitinib,8.30E-18
miR-625*,Oxaliplatin,5.19E-18
miR-214*,5-Fluorouracil,4.83E-18
miR-15b*,Gemcitabine,4.48E-18
miR-320a,platinum-based doublet chemotherapy ,3.76E-18
miR-26a,Gemcitabine,3.64E-18
miR-1915,Gefitinib,3.51E-18
miR-18b,Oxaliplatin,3.13E-18
miR-23a,Adriamycin,2.80E-18
miR-217,5-Fluorouracil,2.31E-18
miR-16,Gefitinib,1.96E-18
miR-30b,Capecitabine,1.78E-18
miR-149,Cetuximab,1.55E-18
miR-876,Gemcitabine,1.03E-18
miR-1288,Doxorubicin,1.02E-18
miR-23a,Rapamycin,7.48E-19
miR-452,Doxorubicin,6.73E-19
miR-217,Propofol,6.31E-19
miR-6886-3p,Gemcitabine,6.14E-19
miR-28,Imatinib,5.88E-19
miR-660,Cisplatin,5.58E-19
miR-518e*,5-Fluorouracil,5.15E-19
miR-6825-5p,Doxorubicin,4.23E-19
miR-10a*,Gemcitabine,3.98E-19
miR-1290,Vinorelbine,3.96E-19
miR-143,Oxaliplatin,3.19E-19
miR-3665,Doxorubicin,2.66E-19
miR-7-1*,Docetaxel,2.52E-19
CUDR,5-Fluorouracil,1.81E-19
BCAR4,5-Fluorouracil,1.79E-19
CASC11,5-Fluorouracil,1.67E-19
miR-138-1*,Gemcitabine,1.61E-19
BCAR4,Doxorubicin,1.60E-19
miR-633,Gemcitabine,1.36E-19
miR-132,Oxaliplatin,1.22E-19
CASC11,PLX4720,1.15E-19
miR-520h,Etoposide,1.11E-19
miR-4675,Doxorubicin,1.04E-19
miR-9,Gemcitabine,9.17E-20
miR-198,5-Fluorouracil,9.16E-20
let-7e,Etoposide,7.34E-20
miR-1,Doxorubicin,5.57E-20
miR-200c*,Paclitaxel,4.89E-20
miR-126*,Adriamycin,4.27E-20
miR-10a,Verapamil,3.44E-20
miR-19b,Paclitaxel,3.10E-20
MALAT1,Tamoxifen,1.67E-20
miR-183,Imatinib,1.29E-20
miR-136,Verapamil,9.94E-21
TUG1,Oxaliplatin,9.80E-21
miR-23a,Staurosporine,7.23E-21
miR-155,Dichloroacetate,6.77E-21
miR-125b,Arsenic trioxide,6.56E-21
miR-200a,5-Fluorouracil,5.13E-21
miR-1258,PLX4720,5.13E-21
miR-197,PLX4720,4.86E-21
miR-4484,Docetaxel,4.55E-21
TUG1,Carboplatin,3.71E-21
miR-4485,Paclitaxel,3.63E-21
miR-518e*,Doxorubicin,3.09E-21
miR-23a,Colchicine,3.07E-21
miR-217,Daunorubicin,2.81E-21
miR-125b,Platinum,2.63E-21
miR-217,Taxol,2.30E-21
miR-4484,Tamoxifen,2.10E-21
miR-539,Oxaliplatin,2.01E-21
miR-220,Paclitaxel,1.87E-21
miR-375,Fluorouracil,1.73E-21
miR-378f,Verapamil,1.60E-21
miR-3687,Doxorubicin,1.57E-21
miR-106a,Carboplatin,1.54E-21
miR-520,5-Fluorouracil,1.51E-21
miR-373*,Paclitaxel,1.47E-21
miR-550,Verapamil,1.45E-21
miR-517c,Adriamycin,1.29E-21
miR-665,Doxorubicin,1.27E-21
miR-197,Sunitinib,9.47E-22
miR-125b,Cetuximab,9.36E-22
miR-275,Doxorubicin,8.85E-22
miR-518f*,FOLFOX Chemotherapy,8.54E-22
miR-23a,Cyclophosphamide,7.99E-22
miR-181d,Methotrexate,6.87E-22
miR-1825,Verapamil,6.66E-22
miR-873,Doxorubicin,5.74E-22
miR-369,PLX4720,5.69E-22
miR-491,Oxaliplatin,5.40E-22
miR-196a,Paroxetine,5.02E-22
miR-92a-2*,Gemcitabine,4.10E-22
miR-191*,Sorafenib,3.70E-22
miR-22,Oxaliplatin,3.54E-22
MACC1-AS1,Doxorubicin,3.11E-22
miR-22,Tetraplatin,2.10E-22
miR-125b,Glucocorticoid,1.87E-22
miR-503,Doxorubicin,1.48E-22
miR-184,Verapamil,1.38E-22
let-7c,Fluorouracil,1.33E-22
miR-1915,Dexamethasone,1.14E-22
miR-412,Gemcitabine,1.03E-22
miR-129*,Doxorubicin,8.79E-23
miR-1915,Methotrexate,8.19E-23
miR-30e,Gemcitabine,7.42E-23
miR-320a,Cetuximab,7.38E-23
Let-7,5-Fluorouracil,7.15E-23
miR-518b,Imatinib,6.14E-23
miR-381,Cisplatin,4.95E-23
miR-217,Glucocorticoid,4.82E-23
miR-378g,Doxorubicin,4.82E-23
miR-193a-3p,Staurosporine,3.55E-23
miR-219,Oxaliplatin,3.51E-23
miR-762,Etoposide,3.29E-23
miR-543,Mitomycin C,3.01E-23
miR-539,Paclitaxel,2.73E-23
miR-23a,Capecitabine,1.68E-23
miR-468,Gemcitabine,1.43E-23
miR-518f,Fluorouracil,1.41E-23
miR-383,PLX4720,1.39E-23
miR-374b,Adriamycin,1.24E-23
miR-23a,Ibrutinib,1.19E-23
miR-1290,Cytarabine,1.11E-23
miR-125b,AGRO100,1.09E-23
miR-106~25,Gemcitabine,1.07E-23
miR-200c,Mitomycin C,9.98E-24
miR-30a*,5-Fluorouracil,9.83E-24
miR-3127,Gemcitabine,9.21E-24
miR-767,5-Fluorouracil,8.61E-24
miR-181c,Carboplatin,8.46E-24
miR-106a,Verapamil,8.18E-24
miR-3621,Doxorubicin,7.95E-24
miR-92a-2*,Doxorubicin,7.39E-24
miR-30b,Methotrexate,5.95E-24
miR-125b,Hydrogen Peroxide,5.88E-24
miR-4646,Cisplatin,5.76E-24
miR-4465,Paclitaxel,5.53E-24
miR-132,Mitomycin C,4.66E-24
miR-4669,Cisplatin,4.65E-24
miR-26a,Mitomycin C,4.24E-24
miR-181a,Etoposide,4.01E-24
miR-129*,Carboplatin,3.85E-24
miR-106~25,Temozolomide,3.60E-24
miR-23a,Cytarabine,3.50E-24
miR-539,Tamoxifen,3.18E-24
miR-103,FOLFOX Chemotherapy,2.07E-24
miR-34a-5p,Verapamil,1.63E-24
miR-22,5-Fluorouracil,1.55E-24
miR-146b-5p,PLX4720,1.33E-24
miR-28,Dexamethasone,1.11E-24
miR-361,Paclitaxel,1.02E-24
miR-497,Cisplatin,9.42E-25
miR-217,Prednisone,9.37E-25
miR-23a,Vinorelbine,6.74E-25
miR-718,Chemotherapy,6.43E-25
miR-374b,Cetuximab,6.36E-25
LUCAT1,Paclitaxel,5.68E-25
miR-1264,Verapamil,5.59E-25
miR-1,5-Fluorouracil,5.35E-25
miR-615,Docetaxel,5.24E-25
miR-203,Gemcitabine,4.40E-25
miR-136,Prednisolone,4.18E-25
miR-197,Arsenic trioxide,4.16E-25
miR-512,Doxorubicin,4.15E-25
miR-132,Capecitabine,4.07E-25
miR-331,Gefitinib,4.02E-25
miR-4655,Oxaliplatin,3.49E-25
miR-17-5p,Verapamil,3.38E-25
miR-125a,Oxaliplatin,2.83E-25
miR-4279,Oxaliplatin,2.78E-25
miR-543,Carboplatin,1.98E-25
miR-614,Cisplatin,1.95E-25
miR-217,Mafosfamide,1.66E-25
miR-888,Cisplatin,1.51E-25
miR-4463,Paclitaxel,1.37E-25
miR-1273g,Paclitaxel,1.31E-25
miR-193b*,Docetaxel,1.08E-25
miR-382,Paclitaxel,9.99E-26
miR-16,5-Fluorouracil,9.31E-26
miR-4532,Oxaliplatin,9.28E-26
SNHG5,5-Fluorouracil,9.26E-26
Lnc-VLDLR,Gemcitabine,8.63E-26
miR-193a-3p,Chemotherapy,7.02E-26
miR-1264,Vincristine,5.44E-26
miR-145,Carboplatin,5.43E-26
miR-191*,Carboplatin,5.08E-26
miR-192*,Oxaliplatin,5.01E-26
miR-181a,Glucocorticoid,4.85E-26
miR-219,Adriamycin,4.85E-26
miR-1277,Gemcitabine,4.34E-26
hsa-1274A,Cisplatin,4.23E-26
miR-125b,Levetiracetam,4.18E-26
miR-655,Vincristine,3.91E-26
miR-125b,Topotecan,3.20E-26
miR-125b,Arsenic Trioxide,3.13E-26
miR-19b,Epirubicin,2.76E-26
miR-194,Oxaliplatin,2.65E-26
miR-132,Colchicine,2.33E-26
miR-3195,Verapamil,2.20E-26
miR-568,5-Fluorouracil,2.14E-26
miR-381,Oxaliplatin,1.82E-26
miR-217,Retinoic Acid,1.71E-26
miR-20a-5p,Gemcitabine,1.71E-26
miR-27a,Daunorubicin,1.64E-26
miR-132,Prednisolone,1.27E-26
miR-496,Cisplatin,1.21E-26
miR-339,Imatinib,1.15E-26
miR-196a,10-Hydroxycamptothecin,1.11E-26
miR-3619,Carboplatin,1.08E-26
let-7f,Adriamycin,1.06E-26
UCA1,PLX4720,9.40E-27
miR-371,Doxorubicin,9.37E-27
miR-215,Rituximab,8.92E-27
miR-23a,"1,25(OH)2D3",8.56E-27
HOTAIR,Tetraplatin,8.46E-27
miR-26a,Adriamycin,7.37E-27
miR-1290,PCI-24781,6.66E-27
miR-363*,Tamoxifen,6.27E-27
miR-9,Adriamycin,6.10E-27
miR-155-5p,Oxaliplatin,6.07E-27
miR-106b,Carboplatin,5.90E-27
miR-200c*,Etoposide,5.69E-27
miR-3682,Doxorubicin,5.46E-27
miR-3147,Doxorubicin,4.51E-27
miR-374b,5-Fluorouracil,4.09E-27
miR-4485,Verapamil,3.62E-27
miR-1973,Doxorubicin,3.55E-27
GAS5,PLX4720,3.37E-27
miR-126*,Epirubicin,3.15E-27
miR-126*,Temsirolimus,3.06E-27
miR-598,Fluorouracil,3.00E-27
miR-98,Chemotherapy,2.82E-27
miR-1288,Etoposide,2.54E-27
miR-96-5p,Verapamil,2.45E-27
miR-22,platinum-based doublet chemotherapy ,2.39E-27
miR-146b,Cytarabine,2.20E-27
miR-574,L-asparaginase,2.15E-27
miR-222*,Doxorubicin,2.14E-27
miR-543,Colchicine,1.91E-27
miR-3193,Oxaliplatin,1.83E-27
miR-25*,Oxaliplatin,1.61E-27
miR-1915,Etoposide,1.60E-27
miR-224,Cytarabine,1.54E-27
miR-197,Chemotherapy,1.42E-27
miR-665,Paclitaxel,1.31E-27
miR-205,Imatinib,1.31E-27
miR-708,Pingyangmycin,1.22E-27
miR-193a-3p,Doxorubicin,1.19E-27
miR-217,Nutlin-3a,9.97E-28
miR-3960,Paclitaxel,9.94E-28
miR-1976,Doxorubicin,9.28E-28
miR-125b,Dibenziodolium,9.08E-28
miR-532,Oxaliplatin,8.67E-28
miR-3127,Doxorubicin,8.26E-28
miR-663a,Oxaliplatin,7.63E-28
miR-1468,Paclitaxel,7.47E-28
miR-213,Cyclopamine,7.43E-28
miR-101,Adriamycin,7.41E-28
